"day","time","junk1","junk2","Nflasks","quality","co2","date","days","cos12","sin12","cos6","sin6","timeRw2"
"2012-08-14"," 15:40",41135.65,2012.619,4,0,393.3,2012-08-14 15:40:00,11914.6527777778,-0.726635407591773,-0.68702327794183,0.0559980311321252,0.998430879184596,1367
"2012-08-21"," 15:00",41142.62,2012.638,4,0,390.26,2012-08-21 15:00:00,11921.625,-0.639211653138055,-0.769030859258921,-0.18281692498503,0.983146973722148,1367
"2012-08-28"," 15:00",41149.62,2012.657,2,0,390.51,2012-08-28 15:00:00,11928.625,-0.542202159272979,-0.84024806960785,-0.412033636959438,0.911168635332658,1368
"2012-09-04"," 15:01",41156.63,2012.677,4,0,391.35,2012-09-04 15:01:00,11935.6256944444,-0.437329353192027,-0.899301416009473,-0.617486073673287,0.786581813176193,1368
"2012-09-11"," 17:37",41163.73,2012.696,2,0,391.15,2012-09-11 17:37:00,11942.7340277778,-0.324370593479493,-0.945930080970978,-0.789567436171523,0.613663803509321,1369
"2012-09-18"," 16:36",41170.69,2012.715,3,0,391.12,2012-09-18 16:36:00,11949.6916666667,-0.20910341393759,-0.977893533202692,-0.91255152455929,0.40896175252035,1369
"2012-09-25"," 16:34",41177.69,2012.734,2,0,390.61,2012-09-25 16:34:00,11956.6902777778,-0.0901424143988137,-0.995928885576853,-0.983748690252705,0.179550868630835,1370
"2012-10-02"," 16:32",41184.69,2012.753,3,4,NA,2012-10-02 16:32:00,11963.6888888889,0.0301235762734821,-0.999546182100905,-0.998185140304991,-0.0602198113107689,1370
"2012-10-09"," 16:32",41191.69,2012.772,3,0,390.79,2012-10-09 16:32:00,11970.6888888889,0.149977090196565,-0.988689472188397,-0.955013744832343,-0.296561540293586,1371
"2012-10-16"," 16:04",41198.67,2012.791,3,0,390.88,2012-10-16 16:04:00,11977.6694444444,0.267336223745913,-0.963603312298829,-0.857062686946551,-0.515212141398045,1371
"2012-10-23"," 15:58",41205.67,2012.811,3,0,391.52,2012-10-23 15:58:00,11984.6652777778,0.381088047872584,-0.924538749738843,-0.709543799537326,-0.70466133464107,1372
"2012-10-30"," 16:16",41212.68,2012.83,2,0,391.34,2012-10-30 16:16:00,11991.6777777778,0.489577253347171,-0.871959926260972,-0.520628226010079,-0.853783491455298,1372
"2012-11-06"," 16:18",41219.68,2012.849,2,0,391.6,2012-11-06 16:18:00,11998.6791666667,0.590796524104553,-0.806820591647225,-0.301918934211956,-0.953333602242319,1373
"2012-11-13"," 16:43",41226.7,2012.868,3,0,392.88,2012-11-13 16:43:00,12005.6965277778,0.683656602358982,-0.729803843543574,-0.0652273001019456,-0.997870432131051,1373
"2012-11-20"," 16:15",41233.68,2012.887,3,0,393.52,2012-11-20 16:15:00,12012.6770833333,0.766159613162313,-0.64265033039669,0.174001105682051,-0.984745457070721,1374
"2012-11-27"," 16:10",41240.67,2012.906,3,0,394.94,2012-11-27 16:10:00,12019.6736111111,0.837778078284404,-0.546010889585629,0.403744216907819,-0.914871907598813,1374
"2012-12-04"," 14:57",41247.62,2012.925,2,0,393.28,2012-12-04 14:57:00,12026.6229166667,0.896916327183427,-0.44220029628189,0.608917795936417,-0.793233331241152,1375
"2012-12-11"," 16:37",41254.69,2012.945,2,0,394.3,2012-12-11 16:37:00,12033.6923611111,0.943936301341418,-0.330127640481503,0.782031481980231,-0.623238927853359,1375
"2012-12-18"," 17:22",41261.72,2012.964,2,0,395.24,2012-12-18 17:22:00,12040.7236111111,0.976872965989966,-0.213820504905323,0.908561583364066,-0.417750941632669,1376
"2012-12-27"," 16:14",41270.68,2012.988,3,0,395,2012-12-27 16:14:00,12049.6763888889,0.998111021150809,-0.0614360599101956,0.992451221085422,-0.122640016984895,1377
"2013-01-03"," 17:20",41277.72,2013.007,3,4,NA,2013-01-03 17:20:00,12056.7222222222,0.998216655727377,0.0596951273426091,0.992872983543099,0.119177340758318,1377
"2013-01-08"," 16:43",41282.7,2013.021,3,0,395.2,2013-01-08 16:43:00,12061.6965277778,0.989462404908172,0.144790017864965,0.958071701453326,0.286528558566732,1377
"2013-01-15"," 17:15",41289.72,2013.04,3,0,395.63,2013-01-15 17:15:00,12068.71875,0.964803818504796,0.262970705209847,0.861692816402871,0.507430281082719,1378
"2013-01-22"," 17:05",41296.71,2013.059,3,0,395.34,2013-01-22 17:05:00,12075.7118055556,0.926272684172108,0.376853969803422,0.715962170886803,0.69813907630146,1378
"2013-01-29"," 16:11",41303.67,2013.079,3,0,396.65,2013-01-29 16:11:00,12082.6743055556,0.874608123694531,0.484830516745318,0.529878740064936,0.848073417120945,1379
"2013-02-05"," 17:00",41310.71,2013.098,3,0,397.36,2013-02-05 17:00:00,12089.7083333333,0.809690550947334,0.586857062415205,0.311197576586794,0.950345236388601,1379
"2013-02-12"," 17:09",41317.71,2013.117,3,0,395.94,2013-02-12 17:09:00,12096.7145833333,0.733257295693946,0.679951276424717,0.0753325233767974,0.997158468309669,1380
"2013-02-19"," 17:12",41324.72,2013.136,3,0,397.29,2013-02-19 17:12:00,12103.7166666667,0.646240222472372,0.763134047765436,-0.164747149717717,0.986335833608355,1380
"2013-02-26"," 17:23",41331.72,2013.155,3,0,396.38,2013-02-26 17:23:00,12110.7243055556,0.549778432271498,0.835310526336819,-0.395487350818189,0.918471423258672,1381
"2013-03-05"," 16:20",41338.68,2013.174,3,0,398.29,2013-03-05 16:20:00,12117.6805555556,0.446128320263853,0.894969006088229,-0.601939043717106,0.798542038748703,1381
"2013-03-12"," 16:40",41345.69,2013.194,3,0,397.02,2013-03-12 16:40:00,12124.6944444444,0.335163453239771,0.942159996822404,-0.775330919224784,0.631555196078736,1382
"2013-03-19"," 17:04",41352.71,2013.213,2,0,398.38,2013-03-19 17:04:00,12131.7111111111,0.219278624187912,0.975662280184212,-0.903833769948513,0.427883764941671,1382
"2013-03-26"," 17:08",41359.71,2013.232,3,0,397.97,2013-03-26 17:08:00,12138.7138888889,0.100440636326227,0.994943052930359,-0.979823357148765,0.199865426689369,1383
"2013-04-02"," 16:18",41366.68,2013.251,2,0,398.71,2013-04-02 16:18:00,12145.6791666667,-0.0192081919320893,0.99981550566227,-0.9992620907254,-0.0384092962588796,1383
"2013-04-09"," 16:16",41373.68,2013.27,3,0,398.53,2013-04-09 16:16:00,12152.6777777778,-0.139149441182774,0.990271393618195,-0.961274866037043,-0.275591422082518,1384
